id,name
1158626,Lewis H. Moomaw
40282,Philippe Martinez
63937,Albert Pyun
33223,Hal Roach
1023485,Lee Davis
1092209,Hollis Frampton
930709,Ken Jacobs
936169,Michael Snow
1110375,John Webster
124908,Thomas Whelan
1065698,Norman McLaren
28968,J. Searle Dawley
231428,Peng-Yi Chang 
77173,Jose Pozo
563824,Álvaro Fernández Armero
83865,Zbigniew Rybczynski
93916,Regardt van den Bergh
52405,Michael Hoffman
1110611,Jay Delaney
48965,Anthony Hickox
1095442,Basil Wright
574846,Mark Donskoy
131791,Vlad Yudin
17208,Danny Lerner
91641,Franny Armstrong
1709410,Andrew Chiaramonte
138204,Maurice Phillips
17268,Ronny Yu
53120,James DeMonaco
228118,Giacomo Talamini
17447,Terry Zwigoff
64508,Sidney J. Furie
4610,John Landis
111459,Robert Baca
543652,Ritwik Ghatak
97162,Ben Niles
102967,Oliver Hodge
1076268,Jukka Kärkkäinen
1025547,Martin Asphaug
587444,Horatiu Malaele
107699,Boris Acosta
122402,Kari Väänänen
231550,Quentin Lee
573606,Ademir Kenović
94749,Jiang Xiao
130145,Gregory Greene
1167115,Chris Chan Lee
109891,Klaus Härö
1150487,Peter Sunde
7671,Jeb Stuart
588044,Jaffar Mahmood
423584,Lixin Fan
91730,Jeff Lew
1157342,Leif Erlsboe
51866,Rick Famuyiwa
91388,Havana Marking
1046842,Minoru Ohara
1176421,Lee Bennett Sobel
543714,François Bouvier
1219521,Mark Goffman
1496769,Omar Majeed
77257,Kevin Booth
109893,Veikko Aaltonen
92029,Gabriel Bologna
5026,Akira Kurosawa
108560,Adrian Pennick
550043,Brett Harvey
933072,Gerald Peary
12711,R.D. Robb
1000953,Wes Llewellyn
1006872,Chang Tso-chi
150958,John Maringouin
52172,Sam Newfield
550149,Dan Merchant
94052,Yosuke Fujita
585182,Mads Brügger
87893,Donato Rotunno
35325,Eric Till
8783,Eric Bana
121402,Louis J. Gasnier
53372,Nandita Das
227392,Daniele Vicari
85085,Oliver Irving
21684,Bong Joon-ho
17845,Michael Meredith
114597,Julie Anne Robinson
37561,Fernando Colomo
29720,Abel Gance
94471,Jon Gunn
39104,Abel Ferrara
313,Ellen Kuras
1044885,Raymond Saint-Jean
107168,Stephen Kijak
116306,Richard Dale
30165,Mark Sandrich
93517,Jack Gulick
3974,Miloš Forman
100888,Chuck Jones
19707,Charles Band
101930,Alex Chandon
31894,Ettore Scola
17108,Jonathan Caouette
118346,Ragnar Bragason
1054723,Seppo Huunonen
146110,Kimberly Reed
65608,Leon Gast
73289,Conor McPherson
6593,John Huston
62926,Steven Cantor
96199,Liz Garbus
240600,Philippe Diaz
108847,Timo Koivusalo
578064,Ceri Levy
76981,Delmer Daves
236959,Arto Halonen
37493,Luis García Berlanga
36693,Richard Eyre
69830,Doze Niu Cheng-Tse
223909,Hue Rhodes
69982,Jeff Bleckner
82413,Jack Conway
116986,Jerry Hopper
8688,Diego Luna
591296,Witold Leszczynski
80386,Zoya Akhtar
230398,Daniel Snyder
1137915,Tomasz Zygadło
129562,Johnny Kevorkian
39885,Jacques Poitrenaud
95501,Yasujirō Ozu
56378,Thomas Clay
106697,José Luis López-Linares
107794,Steve Shimek
1214133,Lamont Johnson
121516,Nils Malmros
150390,Emily Atef
107447,Michel O. Scott
88837,Larry Blamire
1012088,James Benning
1035326,Alexander Gentelev
64901,Gordon Chan
1289727,Joo-Young Ban
58385,Dror Zahavi
225952,Vikram Jayanti
90583,Don Argott
935705,Michael Dudok de Wit
38507,Francis Veber
1052150,Bùi Thạc Chuyên
1292011,Adam Vardy
112954,Vijay Lalwani
130101,Rob Stefaniuk
231043,Charles Kinnane
40263,Manuel Poirier
26882,Kiyoshi Kurosawa
801,Michael Glawogger
120229,Jafar Panahi
87267,Francesco Rosi
11523,Georges Méliès
37302,Georges Franju
1091857,Raúl de la Fuente
968136,Tracey Hecht
1171039,Valentin Vaala
99405,Giancarlo Tallarico
228989,Ravi Chopra
230441,Abhishek Sharma
184464,Morrie Ruvinsky
226662,František Vláčil
1168287,Theo Papadoulakis
216925,Margaret Brown
938202,Felix Moeller
110227,Sooraj R. Barjatya
119430,Luigi Comencini
145057,Bette Gordon
1086649,Denis Heroux
105153,Vicente Aranda
14292,Sidney Gilliat
938146,Wladyslaw Starewicz
231490,Juan Carlos Valdivia
1087944,Pierre Thoretton
228376,Yael Hersonski
59357,Teddy Newton
234397,Jeff Malmberg
146964,Kenneth Anger
141060,Joao G. Amorim
81437,Philippe Falardeau
1048454,Robert Barry Ptolemy
144798,Simon Cellan Jones
128043,Andrea Molaioli
82222,Emmett Malloy
88142,Vipul Amrutlal Shah
236360,Daming Chen
543592,Annette K. Olesen
18574,Budd Boetticher
140470,Mitsuo Yanagimachi
1031196,Jari Kokko
1175931,Brian Skeet
32919,Anthony Asquith
50739,Enzo G. Castellari
57832,Daniel Lee
28976,Jack Bender
225706,Henry Saine
84460,Chaz Thorne
237943,Brigitte Berman
18927,Ralf Westhoff
112333,Matt Austin
980124,Eduard Cortés
1558,Søren Kragh-Jacobsen
232711,Alexandru Solomon
131685,Elia Suleiman
213449,Jarmo Lampela
109083,Ertem Eğilmez
557984,Kirill Serebrennikov
1013009,Gustav Deutsch
962903,Celina Murga
97278,Atıf Yılmaz
716,Emile Ardolino
229604,Clio Barnard
163190,Allan King
224610,Michael Madsen
144177,Mahmut Fazıl Coşkun
64750,Pascal Bonitzer
122740,Sergiu Nicolaescu
46324,Nathan Wang
1091507,Pirjo Honkasalo
127027,James Moll
76381,David Butler
25009,Raul Inglis
1088277,Ernesto Cabellos
550690,Meghan Eckman
588935,Sasa Gedeon
56375,Amat Escalante
91565,Åke Sandgren
257628,Kira Muratova
8246,Barry Levinson
1335325,Chris J. Ford
131652,Peter Rodger
909996,Sadao Yamanaka
121585,Raúl Ruiz
134678,Lawrence Trilling
110285,Robert Kane Pappas
301013,Helmut Schleppi
1058219,Matthew J. Pellowski
1179183,Abolfazl Jalili
1044178,Jaime Humberto Hermosillo
1082759,Amir Muhammad
1058434,Donal MacIntyre
1364459,Tapio Suominen
1173690,Forgács Péter
21452,John Rich
93905,Allan Dwan
219783,David Gregory
222507,Liisa Helminen
1309934,Jan Ruzicka
19744,John Korty
1275989,Tony Hickman
6778,John Guillermin
227239,Cristiano Bortone
151166,Frédéric Fonteyne
145518,Zeki Demirkubuz
1215282,Lynne Stopkewich
550527,Susan Saladoff
1138216,Grzegorz Królikiewicz
3776,Jean-Luc Godard
147428,Wolfgang Groos
128107,Gianni Amelio
1146132,Jean Benoît-Lévy
991950,Xavi Puebla
50719,Rodman Flender
8636,Cecil B. DeMille
51193,Franziska Meletzky
1668446,Scott Owen Moore
223736,Stephen K. Bannon
30008,Leo McCarey
587928,Emilio Aragón
84515,Katherine Brooks
65994,Andrew Lau
1963,Danièle Thompson
110347,William K.L. Dickson 
59923,Marc Forby
88711,Alexandra Lipsitz
29078,Rod Hardy
33062,Curtis Bernhardt
39298,Margarethe von Trotta
15254,Emir Kusturica
230217,Adrián Caetano
931420,Herbert Ponting
213611,Richard Press
95040,Pietro Germi
148086,Zachary Levy
550175,Michel Brault
140027,János Szász
231720,Jaap van Heusden
100593,Joe May
1095434,Susan Morgan Cooper
39243,Michel Deville
936763,Carla Garapedian
1147000,John N. Carter
1023779,Chetan Anand
29755,Erle C. Kenton
76904,Brigitte Roüan
60353,Jan Fehse
564272,Michael Barnett
239378,Jacqueline Audry
49892,Fernando Di Leo
105617,Park Chul-soo
119294,Abbas Kiarostami
33064,Henry Koster
78996,Antonio Hernández
966170,Jake Rademacher
588822,Radu Jude
112206,Astra Taylor
550684,Cindy Meehl
939590,John E. Bryant
2801,Andrzej Wajda
936463,Mario Caserini
232190,U. Roberto Romano
583166,Jihun Kim
524741,Peter Richardson
27002,Wojciech Has
213330,Juha Wuolijoki
1122434,Chris Atkins
222092,Chris Holt
1081884,Keith Behrman
21657,Vera Farmiga
40506,Ulrich Seidl
1064947,Katy Chevigny
1821621,Alexandre O. Philippe
1427193,Aleksey German Jr
89535,Norman Krasna
96627,André Téchiné
1212412,Larry Shaw
1184272,Christopher Marshall
105866,Marco Bellocchio
71353,Fernando E. Solanas
591426,Marcin Wrona
81357,Suzie Halewood
75590,Kieth Merrill
29595,Rouben Mamoulian
1081467,Lisanne Skyler
80107,Akihiko Shiota
239263,Duane Hopkins
19544,Ron Friedman
1759551,Chip Mabry
125385,Masakazu Hashimoto
32096,Pierre Granier-Deferre
94063,Waldemar Krzystek
1087383,Johan van der Keuken
1077999,Mark Rappaport
78845,Arthur Lubin
78120,Daniel Adams
133090,José Luis Guerin
1340001,Greg Page
13563,Norman Jewison
149501,Michael Lange
1032022,Weikai Huang
96369,Carlos Saura
95111,Dziga Vertov
1061644,Michael D. Sellers
90054,Edward Finney
496347,Craig McCall
131785,Douglas Barr
97202,Kenji Mizoguchi
1665533,Mia Halme
146793,Alberto Lattuada
